令和4年1月1日住民基本台帳年齢階級別人口（都道府県別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳～94歳,95歳～99歳,100歳以上
団体コード,都道府県名,性別,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人
-,合計,計,125927902 ,4450716 ,5138940 ,5446071 ,5619523 ,6273159 ,6410289 ,6616255 ,7451244 ,8221675 ,9745662 ,9424788 ,7821743 ,7378393 ,7770231 ,9604559 ,6680169 ,5575757 ,3807061 ,1847061 ,557944 ,86607 
-,合計,男,61420626 ,2279668 ,2635024 ,2793011 ,2879636 ,3218643 ,3302687 ,3395864 ,3801460 ,4185468 ,4949126 ,4760262 ,3922885 ,3657943 ,3785404 ,4539801 ,2986726 ,2323849 ,1370107 ,515097 ,107864 ,10083 
-,合計,女,64507276 ,2171048 ,2503916 ,2653060 ,2739887 ,3054516 ,3107602 ,3220391 ,3649784 ,4036207 ,4796536 ,4664526 ,3898858 ,3720450 ,3984827 ,5064758 ,3693443 ,3251908 ,2436954 ,1331964 ,450080 ,76524 
010006,北海道,計,5183687 ,156638 ,187132 ,203762 ,216223 ,226351 ,228411 ,245520 ,286869 ,325711 ,389839 ,372043 ,333232 ,335730 ,374101 ,442686 ,304154 ,254051 ,178552 ,89762 ,26869 ,4111 
010006,北海道,男,2450393 ,80315 ,95673 ,104103 ,110815 ,116333 ,115970 ,124078 ,143427 ,162212 ,193554 ,181281 ,159630 ,161327 ,176687 ,200998 ,129003 ,99754 ,63328 ,25392 ,5219 ,532 
010006,北海道,女,2733294 ,76323 ,91459 ,99659 ,105408 ,110018 ,112441 ,121442 ,143442 ,163499 ,196285 ,190762 ,173602 ,174403 ,197414 ,241688 ,175151 ,154297 ,115224 ,64370 ,21650 ,3579 
020001,青森県,計,1243081 ,36305 ,44151 ,48461 ,52881 ,49020 ,47761 ,52991 ,65626 ,75326 ,87587 ,87644 ,82602 ,90536 ,99082 ,110496 ,72162 ,63614 ,47250 ,22416 ,5915 ,788 
020001,青森県,男,589143 ,18627 ,22727 ,24685 ,27066 ,25836 ,25261 ,27278 ,33176 ,38471 ,44237 ,43333 ,40447 ,43730 ,47176 ,51274 ,30383 ,23846 ,14971 ,5456 ,983 ,94 
020001,青森県,女,653938 ,17678 ,21424 ,23776 ,25815 ,23184 ,22500 ,25713 ,32450 ,36855 ,43350 ,44311 ,42155 ,46806 ,51906 ,59222 ,41779 ,39768 ,32279 ,16960 ,4932 ,694 
030007,岩手県,計,1206479 ,36020 ,44793 ,49645 ,52659 ,48663 ,47846 ,53338 ,64230 ,73459 ,84175 ,80721 ,76969 ,84256 ,93731 ,101627 ,68015 ,63279 ,49142 ,25112 ,7469 ,989 
030007,岩手県,男,581809 ,18351 ,23003 ,25521 ,26917 ,25482 ,25200 ,27613 ,32991 ,37684 ,43360 ,40924 ,38710 ,42048 ,46184 ,48601 ,29620 ,24728 ,16626 ,6620 ,1404 ,106 
030007,岩手県,女,624670 ,17669 ,21790 ,24124 ,25742 ,23181 ,22646 ,25725 ,31239 ,35775 ,40815 ,39797 ,38259 ,42208 ,47547 ,53026 ,38395 ,38551 ,32516 ,18492 ,6065 ,883 
040002,宮城県,計,2268355 ,76333 ,92434 ,97534 ,102804 ,112253 ,110496 ,120557 ,140107 ,155195 ,171435 ,158545 ,137046 ,142715 ,156432 ,174154 ,109254 ,94717 ,69304 ,35130 ,10337 ,1462 
040002,宮城県,男,1106183 ,39100 ,47510 ,50068 ,52689 ,57736 ,56493 ,61484 ,70946 ,78779 ,87383 ,80378 ,68321 ,70377 ,76372 ,83345 ,49732 ,39185 ,24293 ,9714 ,2066 ,180 
040002,宮城県,女,1162172 ,37233 ,44924 ,47466 ,50115 ,54517 ,54003 ,59073 ,69161 ,76416 ,84052 ,78167 ,68725 ,72338 ,80060 ,90809 ,59522 ,55532 ,45011 ,25416 ,8271 ,1282 
050008,秋田県,計,956836 ,24275 ,30708 ,35643 ,37726 ,33399 ,32827 ,37633 ,47830 ,56517 ,64123 ,61915 ,60543 ,71791 ,81422 ,90958 ,58275 ,54819 ,45128 ,23607 ,6435 ,843 
050008,秋田県,男,452370 ,12410 ,15641 ,18277 ,19298 ,17568 ,17424 ,19393 ,24501 ,29201 ,32786 ,30698 ,29717 ,35063 ,39248 ,43007 ,25064 ,20821 ,14991 ,5882 ,1154 ,99 
050008,秋田県,女,504466 ,11865 ,15067 ,17366 ,18428 ,15831 ,15403 ,18240 ,23329 ,27316 ,31337 ,31217 ,30826 ,36728 ,42174 ,47951 ,33211 ,33998 ,30137 ,17725 ,5281 ,744 
060003,山形県,計,1056682 ,32798 ,39932 ,44435 ,47563 ,43735 ,41067 ,47332 ,56995 ,64669 ,70586 ,67183 ,65044 ,73940 ,82149 ,91449 ,57868 ,53767 ,43414 ,24052 ,7220 ,959 
060003,山形県,男,511409 ,16862 ,20418 ,22839 ,24389 ,23194 ,21689 ,24388 ,29257 ,33326 ,35886 ,33751 ,32200 ,36488 ,40354 ,45180 ,26342 ,21799 ,15117 ,6403 ,1335 ,115 
060003,山形県,女,545273 ,15936 ,19514 ,21596 ,23174 ,20541 ,19378 ,22944 ,27738 ,31343 ,34700 ,33432 ,32844 ,37452 ,41795 ,46269 ,31526 ,31968 ,28297 ,17649 ,5885 ,844 
070009,福島県,計,1841244 ,59129 ,71340 ,76487 ,84350 ,82008 ,80659 ,88693 ,102732 ,112983 ,127306 ,121163 ,115890 ,129560 ,142597 ,154060 ,94269 ,84883 ,65311 ,34968 ,10666 ,1471 
070009,福島県,男,904388 ,30037 ,36475 ,39369 ,43344 ,43447 ,43164 ,46605 ,53868 ,58642 ,66095 ,61737 ,58507 ,64829 ,71024 ,75747 ,43036 ,34477 ,22121 ,9427 ,2016 ,190 
070009,福島県,女,936856 ,29092 ,34865 ,37118 ,41006 ,38561 ,37495 ,42088 ,48864 ,54341 ,61211 ,59426 ,57383 ,64731 ,71573 ,78313 ,51233 ,50406 ,43190 ,25541 ,8650 ,1281 
080004,茨城県,計,2890377 ,95341 ,114907 ,125405 ,132596 ,140042 ,137006 ,146806 ,168597 ,186999 ,221015 ,211740 ,175266 ,175809 ,200081 ,233658 ,161481 ,128017 ,80963 ,40478 ,12464 ,1703 
080004,茨城県,男,1449442 ,48927 ,58948 ,64700 ,68173 ,74784 ,75220 ,79101 ,88991 ,98168 ,115535 ,110437 ,89477 ,88277 ,98930 ,112334 ,75924 ,57234 ,30305 ,11358 ,2406 ,212 
080004,茨城県,女,1440935 ,46414 ,55959 ,60705 ,64423 ,65258 ,61786 ,67705 ,79606 ,88831 ,105480 ,101303 ,85789 ,87532 ,101151 ,121324 ,85557 ,70783 ,50658 ,29120 ,10058 ,1491 
090000,栃木県,計,1942494 ,64857 ,78112 ,84648 ,89530 ,91542 ,92020 ,100230 ,115511 ,128401 ,149965 ,140351 ,117359 ,121258 ,136660 ,157707 ,101728 ,80749 ,54326 ,27855 ,8507 ,1177 
090000,栃木県,男,971696 ,33620 ,40157 ,43673 ,45910 ,48491 ,50359 ,53453 ,60858 ,67330 ,78510 ,72603 ,59843 ,60956 ,67986 ,76766 ,47257 ,34849 ,19544 ,7757 ,1642 ,132 
090000,栃木県,女,970798 ,31237 ,37955 ,40975 ,43620 ,43051 ,41661 ,46777 ,54653 ,61071 ,71455 ,67748 ,57516 ,60302 ,68674 ,80941 ,54471 ,45900 ,34782 ,20098 ,6865 ,1045 
100005,群馬県,計,1943667 ,63968 ,75549 ,85003 ,91503 ,96744 ,92394 ,95059 ,107027 ,123029 ,149853 ,144486 ,118185 ,115326 ,129591 ,157586 ,110688 ,87193 ,58877 ,30615 ,9505 ,1386 
100005,群馬県,男,963793 ,32872 ,38583 ,43724 ,47030 ,51302 ,49741 ,50568 ,55977 ,63978 ,77226 ,74222 ,59941 ,58017 ,64144 ,75784 ,50963 ,37362 ,21503 ,8757 ,1908 ,162 
100005,群馬県,女,979874 ,31096 ,36966 ,41279 ,44473 ,45442 ,42653 ,44491 ,51050 ,59051 ,72627 ,70264 ,58244 ,57309 ,65447 ,81802 ,59725 ,49831 ,37374 ,21858 ,7597 ,1224 
110001,埼玉県,計,7385848 ,259644 ,299375 ,316560 ,328013 ,382654 ,398794 ,406695 ,449299 ,500647 ,608737 ,593360 ,463264 ,405316 ,426651 ,545676 ,405912 ,316637 ,181767 ,73222 ,20486 ,3101 
110001,埼玉県,男,3688311 ,132888 ,153483 ,162484 ,168177 ,195431 ,205160 ,212073 ,233222 ,261087 ,317777 ,309288 ,239724 ,206083 ,210900 ,258293 ,185612 ,139523 ,71053 ,21646 ,4038 ,350 
110001,埼玉県,女,3697537 ,126756 ,145892 ,154076 ,159836 ,187223 ,193634 ,194622 ,216077 ,239560 ,290960 ,284072 ,223540 ,199233 ,215751 ,287383 ,220300 ,177114 ,110714 ,51576 ,16448 ,2751 
120006,千葉県,計,6310875 ,219206 ,251622 ,267870 ,278976 ,325619 ,335120 ,342365 ,382726 ,422181 ,509412 ,501617 ,391118 ,348566 ,371232 ,474123 ,351212 ,275511 ,166839 ,72124 ,20263 ,3119 
120006,千葉県,男,3144185 ,112109 ,129308 ,137664 ,143123 ,168314 ,173786 ,178556 ,198873 ,219061 ,264657 ,260537 ,202130 ,176764 ,182131 ,225200 ,160085 ,121394 ,64838 ,21236 ,4038 ,358 
